persona_id,name,plan,age,lang,profile,xp,flight_level,momentum_score,momentum_league,active_weeks,weekly_scores,maturity_index,maturity_rank,cmi,rmi,route_proven,route_proven_count,breadth_index,breadth_descriptor,trust_state,title_eligibility,prestige_pei,prestige_nomination,achievements,achievement_ids,cxw,sex,team_contrib,practical,capstone,missions,integrity_hold,clusters,horizons,ldb_mastery_eligible,ldb_momentum_eligible,expected,issues,result,cohort,seed,formula_frm_mat,formula_frm_mom,formula_frm_xp
CAL-20260721-A-0000,Cal A 0,WingPass,adult,ar,low_act_high_ev,990,4,63.33,Gold,8,75.0|50.0|60.0|50.0|50.0|70.0|75.0|50.0,63.75,Pathfinder,100.0,100.0,1,1,34.5,Expanding,POSITIVE_STANDING,PROGRESS_VISIBLE,74.65,NOT_ELIGIBLE,6,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,1,8,1,2,0,4,OPR|PRT,1,1,"{'route_proven': 'possible', 'mastery_strong': 'possible', 'not_punished_for_efficiency': 'yes'}",,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0001,Cal A 1,FlightPass,adult,en,team_strong,980,4,56.67,Silver,7,65.0|10.0|75.0|60.0|50.0|80.0|0.0|10.0,66.25,Specialist,83.33,83.33,1,1,29.5,Expanding,POSITIVE_STANDING,PROGRESS_VISIBLE,76.15,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LIVE-001|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,5,3,1,2,0,3,OPR|PRT,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0002,Cal A 2,WingPass,adult,ar,paid_idle,0,1,0.0,Iron,0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0,0.0,Hatchling,0.0,0.0,0,0,0.0,Focused,UNESTABLISHED,NOT_ELIGIBLE,1.5,NOT_ELIGIBLE,0,,0,0,0,0,0,0,0,0,,0,0,"{'xp': '0_or_near', 'momentum': 'Iron', 'mastery': 'none', 'route_proven': 'no'}",,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0003,Cal A 3,WingPass,adult,ar,experienced,1115,5,74.17,Gold,8,75.0|75.0|75.0|50.0|75.0|70.0|75.0|50.0,86.25,Vanguard,100.0,100.0,1,2,53.75,Multi-Horizon,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,81.25,ELIGIBLE_ASCENDANT_NOMINATION,8,ACH-ACT-001|ACH-BRD-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-SEX-001|ACH-TEAM-001,0,1,2,7,1,6,0,6,BLD|OPR|PRT,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0004,Cal A 4,WingPass,adult,en,experienced,1030,5,75.83,Platinum,8,65.0|75.0|50.0|75.0|75.0|70.0|85.0|75.0,86.25,Specialist,100.0,100.0,1,2,51.75,Multi-Horizon,NORMAL,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,71.35,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-BRD-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-SEX-001,0,1,0,7,1,7,0,6,BLD|LED|OPR,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0005,Cal A 5,Expedition,adult,en,paid_idle,0,1,0.0,Iron,0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0,0.0,Hatchling,0.0,0.0,0,0,0.0,Focused,UNESTABLISHED,NOT_ELIGIBLE,1.5,NOT_ELIGIBLE,0,,0,0,0,0,0,0,0,0,,0,0,"{'xp': '0_or_near', 'momentum': 'Iron', 'mastery': 'none', 'route_proven': 'no'}",,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0006,Cal A 6,Expedition,adult,en,team_strong,1310,5,71.67,Gold,8,50.0|85.0|70.0|75.0|60.0|80.0|60.0|60.0,66.25,Specialist,83.33,83.33,1,1,52.0,Multi-Horizon,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,80.65,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LIVE-001|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,7,5,1,3,0,5,BLD|LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0007,Cal A 7,WingPass,adult,en,popular_weak,200,2,28.33,Iron,5,0.0|10.0|10.0|0.0|0.0|40.0|50.0|60.0,16.25,Hatchling,0.0,0.0,0,0,27.5,Expanding,NORMAL,NOT_ELIGIBLE,20.5,NOT_ELIGIBLE,2,ACH-ACT-001|ACH-TEAM-001,0,0,3,0,0,3,0,3,OPR|PRT,0,1,"{'mastery_from_popularity': 'no', 'prestige_from_popularity': 'no'}",,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0008,Cal A 8,FlightPass,adult,en,experienced,1170,5,72.5,Gold,8,40.0|50.0|85.0|60.0|60.0|70.0|75.0|85.0,86.25,Vanguard,100.0,100.0,1,2,60.0,Multi-Horizon,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,85.0,ELIGIBLE_ASCENDANT_NOMINATION,8,ACH-ACT-001|ACH-BRD-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-SEX-001|ACH-TEAM-001,0,1,3,8,1,3,0,6,BLD|LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0009,Cal A 9,MeritRoute,adult,en,team_strong,1410,5,77.5,Platinum,8,75.0|85.0|75.0|60.0|85.0|85.0|60.0|60.0,66.25,Specialist,86.0,86.0,1,1,62.0,Multi-Horizon,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,83.45,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LIVE-001|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,7,6,1,7,0,7,BLD|LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0010,Cal A 10,FlightPass,adult,en,steady,1035,5,71.67,Gold,7,50.0|85.0|50.0|85.0|0.0|60.0|75.0|75.0,63.75,Pathfinder,85.0,85.0,1,1,45.75,Expanding,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,72.4,NOT_ELIGIBLE,6,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,1,3,1,5,0,5,BLD|LED|OPR,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0011,Cal A 11,WingPass,adult,en,steady,1125,5,75.0,Platinum,7,60.0|75.0|85.0|75.0|0.0|65.0|90.0|50.0,66.25,Specialist,86.0,86.0,1,1,62.0,Multi-Horizon,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,78.45,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-EVD-002|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,2,5,1,6,0,7,BLD|LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0012,Cal A 12,FlightPass,adult,en,returning,370,3,42.5,Bronze,5,10.0|0.0|0.0|70.0|0.0|50.0|50.0|75.0,45.0,Scout,83.33,49.0,0,0,38.75,Expanding,POSITIVE_STANDING,NOT_ELIGIBLE,55.2,NOT_ELIGIBLE,5,ACH-ACT-001|ACH-EVD-001|ACH-EVD-002|ACH-RET-001|ACH-TEAM-001,0,0,1,4,0,6,0,4,BLD|OPR|PRT,0,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0013,Cal A 13,OpenFlight,adult,ar,new,180,2,21.67,Iron,3,0.0|0.0|40.0|0.0|40.0|50.0|0.0|0.0,32.5,Fledgling,95.0,49.0,0,0,0.0,Focused,NORMAL,NOT_ELIGIBLE,34.95,NOT_ELIGIBLE,1,ACH-EVD-001,0,0,0,3,0,0,0,0,,0,0,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0014,Cal A 14,FlightPass,adult,ar,popular_weak,100,2,15.0,Iron,3,40.0|0.0|0.0|0.0|40.0|0.0|10.0|0.0,10.0,Hatchling,0.0,0.0,0,0,16.25,Focused,NORMAL,NOT_ELIGIBLE,12.5,NOT_ELIGIBLE,2,ACH-ACT-001|ACH-TEAM-001,0,0,1,0,0,2,0,2,OPR,0,0,"{'mastery_from_popularity': 'no', 'prestige_from_popularity': 'no'}",,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0015,Cal A 15,OpenFlight,adult,en,low_act_high_ev,960,4,56.67,Silver,8,40.0|50.0|50.0|60.0|50.0|80.0|50.0|50.0,63.75,Pathfinder,100.0,100.0,1,1,18.25,Focused,POSITIVE_STANDING,PROGRESS_VISIBLE,73.9,NOT_ELIGIBLE,4,ACH-CAP-001|ACH-EVD-001|ACH-MST-001|ACH-TEAM-001,0,0,2,8,1,0,0,2,OPR,1,1,"{'route_proven': 'possible', 'mastery_strong': 'possible', 'not_punished_for_efficiency': 'yes'}",,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0016,Cal A 16,MeritRoute,adult,en,steady,780,4,61.67,Gold,6,75.0|50.0|60.0|60.0|0.0|60.0|65.0|0.0,60.0,Pathfinder,78.33,78.33,1,1,45.75,Expanding,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,66.4,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-EVD-002|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,1,2,1,4,0,5,BLD|OPR|PRT,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
