event_id,persona_id,week,event_type,plan,intensity,kind,route,duplicate,note,contribution
PER-001-W00-E0001,PER-001,0,MISSION_COMPLETED,OpenFlight,LIGHT,,,,,
PER-001-W00-E0002,PER-001,0,STAGE_COMPLETED,OpenFlight,,,,,,
PER-001-W00-E0003,PER-001,0,EVIDENCE_APPROVED,OpenFlight,,PRACTICAL,,,,
PER-001-W01-E0004,PER-001,1,MISSION_COMPLETED,OpenFlight,DEEP,,,,,
PER-001-W01-E0005,PER-001,1,STAGE_COMPLETED,OpenFlight,,,,,,
PER-001-W02-E0006,PER-001,2,EVIDENCE_APPROVED,OpenFlight,,FORMATIVE,,,,
PER-001-W03-E0007,PER-001,3,MISSION_COMPLETED,OpenFlight,LIGHT,,,,,
PER-001-W05-E0008,PER-001,5,MISSION_COMPLETED,OpenFlight,STANDARD,,,,,
PER-001-W06-E0009,PER-001,6,MISSION_COMPLETED,OpenFlight,DEEP,,,,,
PER-002-W00-E0001,PER-002,0,MISSION_COMPLETED,WingPass,STANDARD,,,,,
PER-002-W00-E0002,PER-002,0,STAGE_COMPLETED,WingPass,,,,,,
PER-002-W00-E0003,PER-002,0,EVIDENCE_APPROVED,WingPass,,FORMATIVE,,,,
PER-002-W01-E0004,PER-002,1,MISSION_COMPLETED,WingPass,STANDARD,,,,,
PER-002-W01-E0005,PER-002,1,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-002-W02-E0006,PER-002,2,MISSION_COMPLETED,WingPass,LIGHT,,,,,
PER-002-W02-E0007,PER-002,2,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-002-W02-E0008,PER-002,2,TEAM_CONTRIBUTION_APPROVED,WingPass,,,,,,
PER-002-W03-E0009,PER-002,3,MISSION_COMPLETED,WingPass,LIGHT,,,,,
PER-002-W03-E0010,PER-002,3,EVIDENCE_APPROVED,WingPass,,FORMATIVE,,,,
PER-002-W03-E0011,PER-002,3,MISSION_REMEDIATION_COMPLETED,WingPass,,,,,,
PER-002-W03-E0012,PER-002,3,REFLECTION_APPROVED,WingPass,,,,,,
PER-002-W05-E0013,PER-002,5,CAPSTONE_APPROVED,WingPass,,,,,,
PER-002-W05-E0014,PER-002,5,ROUTE_PROVEN_GRANTED,WingPass,,,RT-OPR-001,,,
PER-002-W06-E0015,PER-002,6,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-002-W07-E0016,PER-002,7,MISSION_COMPLETED,WingPass,LIGHT,,,,,
PER-002-W07-E0017,PER-002,7,STAGE_COMPLETED,WingPass,,,,,,
PER-003-W00-E0001,PER-003,0,MISSION_COMPLETED,FlightPass,LIGHT,,,,,
PER-003-W00-E0002,PER-003,0,MISSION_COMPLETED,FlightPass,LIGHT,,,,,
PER-003-W00-E0003,PER-003,0,MISSION_COMPLETED,FlightPass,LIGHT,,,,,
PER-003-W00-E0004,PER-003,0,MISSION_COMPLETED,FlightPass,LIGHT,,,,,
PER-003-W00-E0005,PER-003,0,STAGE_COMPLETED,FlightPass,,,,,,
PER-003-W01-E0006,PER-003,1,MISSION_COMPLETED,FlightPass,LIGHT,,,,,
PER-003-W01-E0007,PER-003,1,MISSION_COMPLETED,FlightPass,LIGHT,,,,,
PER-003-W01-E0008,PER-003,1,STAGE_COMPLETED,FlightPass,,,,,,
PER-003-W01-E0009,PER-003,1,MISSION_COMPLETED,FlightPass,LIGHT,,,true,,
PER-003-W02-E0010,PER-003,2,MISSION_COMPLETED,FlightPass,STANDARD,,,,,
PER-003-W02-E0011,PER-003,2,MISSION_COMPLETED,FlightPass,STANDARD,,,,,
PER-003-W03-E0012,PER-003,3,MISSION_COMPLETED,FlightPass,EXTENDED,,,,,
PER-003-W03-E0013,PER-003,3,MISSION_COMPLETED,FlightPass,EXTENDED,,,,,
PER-003-W03-E0014,PER-003,3,STAGE_COMPLETED,FlightPass,,,,,,
PER-003-W04-E0015,PER-003,4,MISSION_COMPLETED,FlightPass,DEEP,,,,,
PER-003-W04-E0016,PER-003,4,MISSION_COMPLETED,FlightPass,DEEP,,,,,
PER-003-W05-E0017,PER-003,5,MISSION_COMPLETED,FlightPass,EXTENDED,,,,,
PER-003-W05-E0018,PER-003,5,MISSION_COMPLETED,FlightPass,EXTENDED,,,,,
PER-003-W05-E0019,PER-003,5,STAGE_COMPLETED,FlightPass,,,,,,
PER-003-W06-E0020,PER-003,6,MISSION_COMPLETED,FlightPass,LIGHT,,,,,
PER-003-W06-E0021,PER-003,6,MISSION_COMPLETED,FlightPass,LIGHT,,,,,
PER-003-W06-E0022,PER-003,6,STAGE_COMPLETED,FlightPass,,,,,,
PER-003-W07-E0023,PER-003,7,MISSION_COMPLETED,FlightPass,EXTENDED,,,,,
PER-003-W07-E0024,PER-003,7,MISSION_COMPLETED,FlightPass,EXTENDED,,,,,
PER-003-W07-E0025,PER-003,7,STAGE_COMPLETED,FlightPass,,,,,,
PER-004-W00-E0001,PER-004,0,MISSION_COMPLETED,OpenFlight,DEEP,,,,,
PER-004-W00-E0002,PER-004,0,STAGE_COMPLETED,OpenFlight,,,,,,
PER-004-W00-E0003,PER-004,0,EVIDENCE_APPROVED,OpenFlight,,PRACTICAL,,,,
PER-004-W01-E0004,PER-004,1,EVIDENCE_APPROVED,OpenFlight,,PRACTICAL,,,,
PER-004-W02-E0005,PER-004,2,EVIDENCE_APPROVED,OpenFlight,,PRACTICAL,,,,
PER-004-W03-E0006,PER-004,3,EVIDENCE_APPROVED,OpenFlight,,PRACTICAL,,,,
PER-004-W04-E0007,PER-004,4,EVIDENCE_APPROVED,OpenFlight,,PRACTICAL,,,,
PER-004-W05-E0008,PER-004,5,EVIDENCE_APPROVED,OpenFlight,,PRACTICAL,,,,
PER-004-W05-E0009,PER-004,5,CAPSTONE_APPROVED,OpenFlight,,,,,,
PER-004-W05-E0010,PER-004,5,ROUTE_PROVEN_GRANTED,OpenFlight,,,RT-OPR-001,,,
PER-004-W05-E0011,PER-004,5,TEAM_CONTRIBUTION_APPROVED,OpenFlight,,,,,,
PER-004-W06-E0012,PER-004,6,MISSION_COMPLETED,OpenFlight,STANDARD,,,,,
PER-004-W06-E0013,PER-004,6,EVIDENCE_APPROVED,OpenFlight,,PRACTICAL,,,,
PER-004-W07-E0014,PER-004,7,EVIDENCE_APPROVED,OpenFlight,,PRACTICAL,,,,
PER-005-W00-E0001,PER-005,0,MISSION_COMPLETED,WingPass,EXTENDED,,,,,
PER-005-W00-E0002,PER-005,0,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-005-W01-E0003,PER-005,1,MISSION_COMPLETED,WingPass,DEEP,,,,,
PER-005-W01-E0004,PER-005,1,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-005-W02-E0005,PER-005,2,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-005-W03-E0006,PER-005,3,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
