persona_id,name,plan,age,lang,profile,xp,flight_level,momentum_score,momentum_league,active_weeks,weekly_scores,maturity_index,maturity_rank,cmi,rmi,route_proven,route_proven_count,breadth_index,breadth_descriptor,trust_state,title_eligibility,prestige_pei,prestige_nomination,achievements,achievement_ids,cxw,sex,team_contrib,practical,capstone,missions,integrity_hold,clusters,horizons,ldb_mastery_eligible,ldb_momentum_eligible,expected,issues,result
SYN-0000,Synthetic 0,MeritRoute,adult,ar,new,90,1,8.33,Iron,2,40.0|10.0|0.0|0.0|0.0|0.0|0.0|0.0,10.0,Hatchling,0.0,0.0,0,0,5.0,Focused,NORMAL,NOT_ELIGIBLE,9.5,NOT_ELIGIBLE,2,ACH-ACT-001|ACH-TEAM-001,0,0,1,0,0,1,0,1,LED,0,0,{'baseline': 'ok'},,PASS
SYN-0001,Synthetic 1,Expedition,adult,en,steady,1125,5,70.0,Gold,7,50.0|50.0|75.0|85.0|0.0|75.0|50.0|85.0,63.75,Pathfinder,81.67,81.67,1,1,45.75,Expanding,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,71.4,NOT_ELIGIBLE,6,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,1,4,1,6,0,5,BLD|LED|OPR,1,1,{'baseline': 'ok'},,PASS
SYN-0002,Synthetic 2,Expedition,adult,en,high_act_low_ev,590,3,56.67,Silver,7,40.0|60.0|60.0|60.0|60.0|50.0|0.0|50.0,12.5,Hatchling,0.0,0.0,0,0,65.0,Multi-Horizon,NORMAL,NOT_ELIGIBLE,21.5,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-LRN-001|ACH-TEAM-001,0,0,1,0,0,16,0,8,BLD|LED|OPR|PRT,0,1,"{'high_xp': 'yes', 'route_proven': 'no', 'title': 'no', 'prestige': 'no', 'mastery_strong': 'no'}",,PASS
SYN-0003,Synthetic 3,Expedition,adult,ar,low_act_high_ev,955,4,59.17,Silver,8,40.0|50.0|60.0|50.0|50.0|70.0|75.0|50.0,63.75,Pathfinder,100.0,100.0,1,1,29.5,Expanding,POSITIVE_STANDING,PROGRESS_VISIBLE,73.65,NOT_ELIGIBLE,5,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-MST-001|ACH-TEAM-001,0,0,1,8,1,1,0,3,BLD|OPR,1,1,"{'route_proven': 'possible', 'mastery_strong': 'possible', 'not_punished_for_efficiency': 'yes'}",,PASS
SYN-0004,Synthetic 4,Expedition,adult,en,experienced,1195,5,81.67,Platinum,8,65.0|85.0|85.0|60.0|75.0|85.0|85.0|75.0,86.25,Specialist,100.0,100.0,1,2,73.0,Integrated,NORMAL,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,75.6,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-BRD-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-SEX-001,0,1,0,7,1,8,0,9,BLD|LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS
SYN-0005,Synthetic 5,FlightPass,adult,en,paid_idle,0,1,0.0,Iron,0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0,0.0,Hatchling,0.0,0.0,0,0,0.0,Focused,UNESTABLISHED,NOT_ELIGIBLE,1.5,NOT_ELIGIBLE,0,,0,0,0,0,0,0,0,0,,0,0,"{'xp': '0_or_near', 'momentum': 'Iron', 'mastery': 'none', 'route_proven': 'no'}",,PASS
SYN-0006,Synthetic 6,Expedition,adult,en,merit,770,4,60.0,Gold,6,40.0|75.0|0.0|40.0|50.0|70.0|85.0|0.0,58.75,Pathfinder,83.33,83.33,1,1,38.75,Expanding,NORMAL,PROGRESS_VISIBLE,63.5,NOT_ELIGIBLE,5,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001,0,0,0,4,1,2,0,4,BLD|LED|OPR,1,1,{'baseline': 'ok'},,PASS
SYN-0007,Synthetic 7,MeritRoute,adult,en,returning,380,3,43.33,Bronze,5,10.0|0.0|0.0|75.0|50.0|0.0|75.0|50.0,45.0,Scout,86.67,49.0,0,0,27.5,Expanding,POSITIVE_STANDING,NOT_ELIGIBLE,47.45,NOT_ELIGIBLE,5,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001|ACH-RET-001|ACH-TEAM-001,0,0,1,3,0,6,0,3,BLD|OPR,0,1,{'baseline': 'ok'},,PASS
SYN-0008,Synthetic 8,WingPass,minor,ar,minor_ar,225,2,30.0,Bronze,4,40.0|0.0|50.0|50.0|0.0|0.0|40.0|0.0,42.5,Scout,76.67,49.0,0,0,5.0,Focused,POSITIVE_STANDING,NOT_ELIGIBLE,38.2,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-EVD-001|ACH-TEAM-001,0,0,1,2,0,1,0,1,OPR,0,1,{'baseline': 'ok'},,PASS
SYN-0009,Synthetic 9,Expedition,adult,ar,a11y_compressed,310,3,33.33,Bronze,4,0.0|40.0|0.0|75.0|10.0|0.0|0.0|75.0,42.5,Scout,76.67,49.0,0,0,5.0,Focused,POSITIVE_STANDING,NOT_ELIGIBLE,38.2,NOT_ELIGIBLE,4,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001|ACH-TEAM-001,0,0,1,2,0,2,0,1,LED,0,1,{'baseline': 'ok'},,PASS
