param,scale,persona_id,metric,baseline,variant,changed
XP_SCALE,0.8,PER-001,flight_level,2,2,0
XP_SCALE,0.8,PER-002,flight_level,4,4,0
XP_SCALE,0.8,PER-003,flight_level,4,3,1
XP_SCALE,0.8,PER-004,flight_level,5,4,1
XP_SCALE,0.8,PER-005,flight_level,5,4,1
XP_SCALE,0.8,PER-006,flight_level,1,1,0
XP_SCALE,0.8,PER-007,flight_level,5,4,1
XP_SCALE,0.8,PER-008,flight_level,4,3,1
XP_SCALE,0.8,PER-009,flight_level,3,3,0
XP_SCALE,0.8,PER-010,flight_level,3,2,1
XP_SCALE,0.8,PER-011,flight_level,2,2,0
XP_SCALE,0.8,PER-012,flight_level,5,5,0
XP_SCALE,0.8,PER-013,flight_level,3,3,0
XP_SCALE,0.8,PER-014,flight_level,2,2,0
XP_SCALE,0.8,PER-015,flight_level,5,5,0
XP_SCALE,0.9,PER-001,flight_level,2,2,0
XP_SCALE,0.9,PER-002,flight_level,4,4,0
XP_SCALE,0.9,PER-003,flight_level,4,4,0
XP_SCALE,0.9,PER-004,flight_level,5,4,1
XP_SCALE,0.9,PER-005,flight_level,5,5,0
XP_SCALE,0.9,PER-006,flight_level,1,1,0
XP_SCALE,0.9,PER-007,flight_level,5,4,1
XP_SCALE,0.9,PER-008,flight_level,4,3,1
XP_SCALE,0.9,PER-009,flight_level,3,3,0
XP_SCALE,0.9,PER-010,flight_level,3,2,1
XP_SCALE,0.9,PER-011,flight_level,2,2,0
XP_SCALE,0.9,PER-012,flight_level,5,5,0
XP_SCALE,0.9,PER-013,flight_level,3,3,0
XP_SCALE,0.9,PER-014,flight_level,2,2,0
XP_SCALE,0.9,PER-015,flight_level,5,5,0
XP_SCALE,1.0,PER-001,flight_level,2,2,0
XP_SCALE,1.0,PER-002,flight_level,4,4,0
XP_SCALE,1.0,PER-003,flight_level,4,4,0
XP_SCALE,1.0,PER-004,flight_level,5,5,0
XP_SCALE,1.0,PER-005,flight_level,5,5,0
XP_SCALE,1.0,PER-006,flight_level,1,1,0
XP_SCALE,1.0,PER-007,flight_level,5,5,0
XP_SCALE,1.0,PER-008,flight_level,4,4,0
XP_SCALE,1.0,PER-009,flight_level,3,3,0
XP_SCALE,1.0,PER-010,flight_level,3,3,0
XP_SCALE,1.0,PER-011,flight_level,2,2,0
